Title,Date,Link
",, შევამცირებთ პოლიტიკურ კონტაქტებს საქართველოს ხელისუფლებასთან, ასევე, გავყინავთ მხარდაჭერას მთავრობისათვის” – ბორელი",21:21 06-24-2024,https://www.alia.ge/wp-content/themes/jnews/assets/img/jeg-empty.png
",,ბალაგანია?!  თუ მეფის შვილისთვის ყველაფერი შეიძლება?” – მერაბ მეტრველი",21:16 06-24-2024,https://www.alia.ge/wp-content/themes/jnews/assets/img/jeg-empty.png
",, ხანგრძლივი პროცესის შემდეგ შედგა ეს ერთობა” – ირმა ინაშვილი",20:51 06-24-2024,https://www.alia.ge/wp-content/themes/jnews/assets/img/jeg-empty.png
ევროკავშირმა კადიროვის დედა დაასანქცირა,20:37 06-24-2024,https://www.alia.ge/wp-content/themes/jnews/assets/img/jeg-empty.png
"“ბიძინეც ჩაალაგებს ჩემოდნებს და გაფრინდება, ხოლო მისი ჯალათები მალე იპოვიან აქ ახალ ბატონს” – ცოტნე გამსახურდია",18:55 06-24-2024,https://www.alia.ge/wp-content/themes/jnews/assets/img/jeg-empty.png
“მადლობა ყველაფრისთვის” – ცოტნე ივანიშვილი,18:41 06-24-2024,https://www.alia.ge/wp-content/themes/jnews/assets/img/jeg-empty.png
(ვიდეო) – “ბუდუ არის სისტემისთვის ძალიან დიდი საფრთხე” – ირაკლი წულაია,18:36 06-24-2024,https://www.alia.ge/wp-content/themes/jnews/assets/img/jeg-empty.png
“ვაუუუ! რა მაგარიააა! ასობით პროფესიონალ მშენებელს ჩაიყვანენ ისრაელში საქართველოდან” – მიხეილ ხაჩიძე,18:26 06-24-2024,https://www.alia.ge/wp-content/themes/jnews/assets/img/jeg-empty.png
"“როგორ უნდა მოთხოვო მკაცრად, როდესაც შენ კორუფციულად ფული გაქვს აღებული?!” – გახარია თბილისის ნაწილის უწყლოდ დატოვებაზე",18:06 06-24-2024,https://www.alia.ge/wp-content/themes/jnews/assets/img/jeg-empty.png
“2 მილიონი ოცნებას გადავუხადე თუ პირადად ივანიშვილს?” – ოქრიაშვილი,17:58 06-24-2024,https://www.alia.ge/wp-content/themes/jnews/assets/img/jeg-empty.png
"“ოცნებამ” დემოკრატიული ნიღაბი მოიხსნა, მაგრამ…” – კორტნი",17:50 06-24-2024,https://www.alia.ge/wp-content/themes/jnews/assets/img/jeg-empty.png
პროფესორი გიორგი გახელაძე გარდაცვლილი იპოვეს,16:28 06-24-2024,https://www.alia.ge/wp-content/themes/jnews/assets/img/jeg-empty.png
"კუს ტბაზე იპოვეს ცხედარი, რომელიც ექსპერტიზაზეა გადასვენებული",16:07 06-24-2024,https://www.alia.ge/wp-content/themes/jnews/assets/img/jeg-empty.png
რას ამბობს სახალხო დამცველი სააკაშვილის მონახულების შემდეგ?,14:58 06-24-2024,https://www.alia.ge/wp-content/themes/jnews/assets/img/jeg-empty.png
",, ნეტა არ გავრეკავდე” – ვიკა ბუკია",14:45 06-24-2024,https://www.alia.ge/wp-content/themes/jnews/assets/img/jeg-empty.png
აქტივისტ ნიკო გაფრინდაშვილს ხელკეტებით შეირაღებული პირები ფიზიკურად გაუსწორდნენ,14:39 06-24-2024,https://www.alia.ge/wp-content/themes/jnews/assets/img/jeg-empty.png
„ტოიოტა ცენტრმა თბილისმა“ ავტომოყვარულებს ახალი თაობის Toyota Land Cruiser  Prado წარუდგინა,14:14 06-24-2024,https://www.alia.ge/wp-content/themes/jnews/assets/img/jeg-empty.png
ევროკავშირმა რუსეთის წინააღმდეგ სანქციების მე-14 პაკეტი დაამტკიცა,13:21 06-24-2024,https://www.alia.ge/wp-content/themes/jnews/assets/img/jeg-empty.png
გარემოს ეროვნული სააგენტოს გაფრთხილება ამინდის შესახებ,13:18 06-24-2024,https://www.alia.ge/wp-content/themes/jnews/assets/img/jeg-empty.png
",, შე გადაგვარებულო, შანტაჟისტო კლოუნო!” – ჩერგოლეიშვილი სააკაშვილს",12:55 06-24-2024,https://www.alia.ge/wp-content/themes/jnews/assets/img/jeg-empty.png
"„დამირეკა კაცმა. თქვა, რომ სოფ. ნასაგურალთან ნახა, ეკითხებოდა, სად ვარ და აქ რა მინდაო. აშარად გიორგია“ – რა ინფორმაცია გაავრცელა 1 საათის წინ გიორგი გახელაძის მეუღლემ?",12:50 06-24-2024,https://www.alia.ge/wp-content/themes/jnews/assets/img/jeg-empty.png
ევროკავშირმა რუსეთის წინააღმდეგ სანქციების მე-14 პაკეტი დაამტკიცა,12:41 06-24-2024,https://www.alia.ge/wp-content/themes/jnews/assets/img/jeg-empty.png
სროლა ბაქოში – დაღუპულია 5 ადამიანი,12:20 06-24-2024,https://www.alia.ge/wp-content/themes/jnews/assets/img/jeg-empty.png
ჯოზეფ ბორელი: საქართველოზე გადაწყვეტილებები დღეს არ იქნება,12:15 06-24-2024,https://www.alia.ge/wp-content/themes/jnews/assets/img/jeg-empty.png
